gnn_model	sp_rate	sw	rwr_rate	se_dim	acc
gcn	0.5	0.5	1.0	128	0.7285027800330308
gcn	0.5	0.5	1.0	256	0.7004632725304233
gcn	0.01	0.5	1.0	64	0.7381886581247213
gcn	0.1	0.5	1.0	64	0.7469045145326156
gcn	0.3	0.5	1.0	64	0.7325675117391108
gcn	0.5	0.5	1.0	64	0.7326865320127276
gcn	0.7	0.5	1.0	64	0.7321532789280051
gcn	0.9	0.5	1.0	64	0.7403609561359275
gcn	1.0	0.5	1.0	64	0.7473238172534973
gcn	0.5	0.5	0.0	64	0.7456147431143796
gcn	0.5	0.5	0.1	64	0.7257165084600675
gcn	0.5	0.5	0.3	64	0.7504131283587203
gcn	0.5	0.5	0.5	64	0.7272283788289657
gcn	0.5	0.5	0.7	64	0.7377506969551169
gcn	0.5	0.5	0.9	64	0.7403321477105335
gcn	0.5	0.5	1.0	64	0.7398773076927762
gcn	0.5	0.0	1.0	64	0.7451315801913497
gcn	0.5	0.1	1.0	64	0.7355255032009455
gcn	0.5	0.3	1.0	64	0.7292593261041526
gcn	0.5	0.5	1.0	64	0.738137013870317
gcn	0.5	0.7	1.0	64	0.7214473341095572
gcn	0.5	0.9	1.0	64	0.7215573778295907
gcn	0.5	1.0	1.0	64	0.6719735922471195
gcn	0.5	0.2	1.0	128	0.5024574973159314
gcn	0.5	0.2	1.0	128	0.5059973394352729
gcn	0.5	0.2	1.0	128	0.5052172600721329
gcn	0.5	0.2	1.0	128	0.5160015120002529
gcn	0.5	0.2	1.0	128	0.5032527160790227
gcn	0.5	0.2	1.0	128	0.5219303048785376
gcn	0.5	0.2	1.0	128	0.5068627996331838
gcn	0.5	0.2	1.0	128	0.5139181295991391
